id	DBpedia_URI	album	artist	date	rating	label
622	http://dbpedia.org/resource/Wild_Flag_(album)	Wild Flag	Wild Flag	13-Sep-11	83	good
539	http://dbpedia.org/resource/Pushing_the_Senses	Pushing The Senses	Feeder	31-Jan-05	52	bad
1311	http://dbpedia.org/resource/No_Mundane_Options	No Mundane Options	The Paddingtons	3-Nov-08	60	bad
468	http://dbpedia.org/resource/Townes_(album)	Townes	Steve Earle	12-May-09	82	good
1339	http://dbpedia.org/resource/A_French_Kiss_in_the_Chaos	A French Kiss In The Chaos	Reverend and the Makers	27-Jul-09	58	bad
1578	http://dbpedia.org/resource/Dr._No's_Ethiopium	Dr. No's Ethiopium	Oh No	24-Nov-09	84	good
260	http://dbpedia.org/resource/Blood_in_My_Eye	Blood In My Eye	Ja Rule	4-Nov-03	45	bad
1401	http://dbpedia.org/resource/An_Empty_Bliss_Beyond_This_World	An Empty Bliss Beyond This World	The Caretaker	21-Jun-11	82	good
1198	http://dbpedia.org/resource/LCD_Soundsystem_(album)	LCD Soundsystem	LCD Soundsystem	15-Feb-05	86	good
624	http://dbpedia.org/resource/The_Color_Spectrum	The Color Spectrum	The Dear Hunter	14-Jun-11	81	good
1324	http://dbpedia.org/resource/Foundling_(album)	Foundling	David Gray	17-Aug-10	62	bad
973	http://dbpedia.org/resource/Live_Like_You_Were_Dying	Live Like You Were Dying	Tim McGraw	24-Aug-04	61	bad
1341	"http://dbpedia.org/resource/You're_a_Woman,_I'm_a_Machine"	"You're A Woman, I'm A Machine"	Death from Above 1979	26-Oct-04	82	good
1306	http://dbpedia.org/resource/Time_Changes_Everything	Time Changes Everything	John Squire	16-Sep-02	50	bad
917	http://dbpedia.org/resource/The_Time_of_the_Assassins	The Time Of The Assassins	Nickel Eye	27-Jan-09	56	bad
456	http://dbpedia.org/resource/Machine_(EP)	Machine [EP]	Yeah Yeah Yeahs	5-Nov-02	54	bad
675	http://dbpedia.org/resource/Thecontrollersphere	Thecontrollersphere	Of Montreal	26-Apr-11	60	bad
